Ilan_ID,Ilan_Tarihi,Marka,Model,Yil,KM,Vites,Yakit,Renk,Sehir,Fiyat_TL,Aciklama
100037,2026-04-26,Toyota,Aurais,2014,206310,Otomatik,Dizel,Mavi,İstanbul,640535,Sahibinden temiz 2014 model Toyota Aurais. Tüm bakımları zamanında yapılmıştır.
100038,2026-04-17,Toyota,Corolla,2010,195436,Otomatik,Benzin,Siyah,Kocaeli,456846,Sahibinden temiz 2010 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
100039,2026-05-05,Fiat,Punto,2012,177741,Otomatik,Hibrit,Gri (Gümüş),Bursa,250000,Sahibinden temiz 2012 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
100040,2026-05-06,Mercedes-Benz,C Serisi,2018,122192,Manuel,Benzin,Kırmızı,İstanbul,1416712,Sahibinden temiz 2018 model Mercedes-Benz C Serisi. Tüm bakımları zamanında yapılmıştır.
100041,2026-05-01,BMW,5 Serisi,2010,287653,Yarı Otomatik,Dizel,Siyah,İstanbul,768520,Sahibinden temiz 2010 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
100042,2026-04-24,Mercedes-Benz,E Serisi,2016,198368,Manuel,Benzin,Mavi,Antalya,1202448,Sahibinden temiz 2016 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
100043,2026-05-07,Volkswagen,Golf,2020,90868,Manuel,Elektrik,Beyaz,İzmir,1113698,Sahibinden temiz 2020 model Volkswagen Golf. Tüm bakımları zamanında yapılmıştır.
100044,2026-05-11,BMW,3 Serisi,2025,26595,Yarı Otomatik,Dizel,Mavi,Kocaeli,1910107,Sahibinden temiz 2025 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
100045,2026-04-29,Renault,Clio,2020,76920,Otomatik,Dizel,Kırmızı,Ankara,784620,Sahibinden temiz 2020 model Renault Clio. Tüm bakımları zamanında yapılmıştır.
100046,2026-05-11,Toyota,Corolla,2025,31968,Yarı Otomatik,Elektrik,Füme,İstanbul,1452048,Sahibinden temiz 2025 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
100047,2026-05-11,BMW,1 Serisi,2021,80027,Manuel,Hibrit,Kırmızı,Kocaeli,1629959,Sahibinden temiz 2021 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
100048,2026-04-23,Hyundai,i30,2013,197041,Yarı Otomatik,Dizel,Siyah,Ankara,254438,Sahibinden temiz 2013 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
100049,2026-05-11,Hyundai,Accent Blue,2018,166531,Yarı Otomatik,Hibrit,Mavi,Adana,550203,Sahibinden temiz 2018 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100050,2026-04-27,Hyundai,Accent Blue,2014,201685,Otomatik,Benzin,Beyaz,Bursa,297472,Sahibinden temiz 2014 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100051,2026-04-23,BMW,1 Serisi,2021,68160,Otomatik,Dizel,Siyah,Antalya,1647760,Sahibinden temiz 2021 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
100052,2026-04-29,Hyundai,Accent Blue,2019,102298,Otomatik,Hibrit,Füme,İzmir,696553,Sahibinden temiz 2019 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100053,2026-04-28,BMW,5 Serisi,2018,165969,Yarı Otomatik,Benzin,Gri (Gümüş),Adana,1351046,Sahibinden temiz 2018 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
100054,2026-05-11,BMW,5 Serisi,2011,283679,Manuel,Dizel,Kırmızı,Gaziantep,824481,Sahibinden temiz 2011 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
100055,2026-05-15,Renault,Symbol,2013,245393,Manuel,LPG & Benzin,Mavi,İstanbul,250000,Sahibinden temiz 2013 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
100056,2026-05-14,Hyundai,i20,2018,142166,Yarı Otomatik,LPG & Benzin,Füme,İstanbul,586751,Sahibinden temiz 2018 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
100057,2026-04-25,Mercedes-Benz,A Serisi,2013,133095,Manuel,LPG & Benzin,Metalik Gri,Antalya,1150357,Sahibinden temiz 2013 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
100058,2026-05-08,Toyota,Aurais,2022,44280,Yarı Otomatik,Benzin,Metalik Gri,Adana,1283580,Sahibinden temiz 2022 model Toyota Aurais. Tüm bakımları zamanında yapılmıştır.
100059,2026-04-17,Toyota,Aurais,2010,206571,Manuel,Elektrik,Beyaz,İzmir,440143,Sahibinden temiz 2010 model Toyota Aurais. Tüm bakımları zamanında yapılmıştır.
100060,2026-05-12,Hyundai,i20,2020,66332,Yarı Otomatik,Elektrik,Beyaz,İzmir,800502,Sahibinden temiz 2020 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
100061,2026-05-09,Fiat,Punto,2015,115009,Yarı Otomatik,Benzin,Kırmızı,Adana,477486,Sahibinden temiz 2015 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
100062,2026-05-07,Mercedes-Benz,A Serisi,2018,112506,Manuel,LPG & Benzin,Beyaz,İstanbul,1431241,Sahibinden temiz 2018 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
100063,2026-05-06,Hyundai,i30,2022,51378,Yarı Otomatik,Hibrit,Metalik Gri,Antalya,922933,Sahibinden temiz 2022 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
100064,2026-04-24,Fiat,Fiorino,2015,208957,Manuel,Elektrik,Kırmızı,Gaziantep,336564,Sahibinden temiz 2015 model Fiat Fiorino. Tüm bakımları zamanında yapılmıştır.
100065,2026-05-08,Hyundai,i30,2025,33375,Manuel,Elektrik,Siyah,Bursa,1099937,Sahibinden temiz 2025 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
100066,2026-04-30,Fiat,Lineia,2017,124753,Otomatik,Hibrit,Beyaz,Gaziantep,562870,Sahibinden temiz 2017 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
100067,2026-05-12,Volkswagen,Polo,2023,51345,Otomatik,LPG & Benzin,Metalik Gri,İstanbul,1322982,Sahibinden temiz 2023 model Volkswagen Polo. Tüm bakımları zamanında yapılmıştır.
100068,2026-04-20,BMW,3 Serisi,2011,248089,Yarı Otomatik,LPG & Benzin,Gri (Gümüş),Adana,877866,Sahibinden temiz 2011 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
100069,2026-04-24,Mercedes-Benz,E Serisi,2011,162842,Yarı Otomatik,Hibrit,Siyah,Ankara,1005737,Sahibinden temiz 2011 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
100070,2026-05-11,Renault,Symbol,2016,132468,Otomatik,Elektrik,Füme,Antalya,501298,Sahibinden temiz 2016 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
100071,2026-05-04,Volkswagen,Polo,2017,112905,Yarı Otomatik,Elektrik,Füme,Kocaeli,930642,Sahibinden temiz 2017 model Volkswagen Polo. Tüm bakımları zamanında yapılmıştır.
100072,2026-05-14,BMW,5 Serisi,2010,205489,Manuel,Hibrit,Beyaz,Bursa,891766,Sahibinden temiz 2010 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
100073,2026-05-14,Renault,Clio,2023,54192,Otomatik,LPG & Benzin,Metalik Gri,Adana,968712,Sahibinden temiz 2023 model Renault Clio. Tüm bakımları zamanında yapılmıştır.
100074,2026-04-19,Mercedes-Benz,E Serisi,2021,69789,Otomatik,LPG & Benzin,Kırmızı,Antalya,1645316,Sahibinden temiz 2021 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
100075,2026-05-13,Mercedes-Benz,E Serisi,2018,126140,Otomatik,LPG & Benzin,Siyah,Adana,1410790,Sahibinden temiz 2018 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
100076,2026-04-27,Fiat,Punto,2023,43090,Yarı Otomatik,LPG & Benzin,Mavi,Kocaeli,985365,Sahibinden temiz 2023 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
100077,2026-05-02,Volkswagen,Tiguan,2023,39927,Manuel,Elektrik,Mavi,Gaziantep,1340109,Sahibinden temiz 2023 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
100078,2026-04-26,Renault,Megane,2024,28213,Manuel,LPG & Benzin,Beyaz,Antalya,1057680,Sahibinden temiz 2024 model Renault Megane. Tüm bakımları zamanında yapılmıştır.
100079,2026-05-04,Toyota,Corolla,2017,129360,Manuel,Benzin,Füme,Bursa,905960,Sahibinden temiz 2017 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
100080,2026-04-18,Volkswagen,Tiguan,2025,34997,Yarı Otomatik,Benzin,Gri (Gümüş),Bursa,1447504,Sahibinden temiz 2025 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
100081,2026-04-19,Hyundai,Accent Blue,2016,209692,Manuel,Hibrit,Mavi,İzmir,385462,Sahibinden temiz 2016 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100082,2026-04-18,BMW,3 Serisi,2011,215639,Otomatik,LPG & Benzin,Gri (Gümüş),Bursa,926541,Sahibinden temiz 2011 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
100083,2026-04-25,Hyundai,Accent Blue,2017,150024,Yarı Otomatik,LPG & Benzin,Siyah,Antalya,524964,Sahibinden temiz 2017 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100084,2026-05-09,Fiat,Lineia,2015,209980,Manuel,Benzin,Siyah,Antalya,335030,Sahibinden temiz 2015 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
100085,2026-05-13,Volkswagen,Polo,2014,132198,Otomatik,Benzin,Füme,Bursa,751703,Sahibinden temiz 2014 model Volkswagen Polo. Tüm bakımları zamanında yapılmıştır.
100086,2026-05-03,Renault,Clio,2010,159994,Yarı Otomatik,Elektrik,Füme,Antalya,250000,Sahibinden temiz 2010 model Renault Clio. Tüm bakımları zamanında yapılmıştır.
100087,2026-04-20,Fiat,Punto,2011,189083,Otomatik,LPG & Benzin,Mavi,Gaziantep,250000,Sahibinden temiz 2011 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
100088,2026-05-03,Fiat,Fiorino,2013,252282,Otomatik,Hibrit,Gri (Gümüş),Gaziantep,250000,Sahibinden temiz 2013 model Fiat Fiorino. Tüm bakımları zamanında yapılmıştır.
100089,2026-04-23,Mercedes-Benz,C Serisi,2021,69780,Otomatik,LPG & Benzin,Füme,Adana,1645330,Sahibinden temiz 2021 model Mercedes-Benz C Serisi. Tüm bakımları zamanında yapılmıştır.
100090,2026-04-27,Fiat,Lineia,2017,112209,Yarı Otomatik,LPG & Benzin,Kırmızı,İzmir,581686,Sahibinden temiz 2017 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
100091,2026-04-25,Volkswagen,Tiguan,2020,123183,Yarı Otomatik,Hibrit,Beyaz,Antalya,1065225,Sahibinden temiz 2020 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
100092,2026-04-16,Hyundai,i30,2017,101759,Yarı Otomatik,Dizel,Metalik Gri,Adana,597361,Sahibinden temiz 2017 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
100093,2026-04-20,Renault,Symbol,2025,20894,Yarı Otomatik,LPG & Benzin,Metalik Gri,İzmir,1118659,Sahibinden temiz 2025 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
100094,2026-05-15,Volkswagen,Passat,2021,79942,Otomatik,Hibrit,Füme,Antalya,1180087,Sahibinden temiz 2021 model Volkswagen Passat. Tüm bakımları zamanında yapılmıştır.
100095,2026-05-07,BMW,3 Serisi,2010,273502,Yarı Otomatik,Elektrik,Mavi,İzmir,789747,Sahibinden temiz 2010 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
100096,2026-05-02,Mercedes-Benz,A Serisi,2018,104866,Manuel,Hibrit,Kırmızı,İzmir,1442701,Sahibinden temiz 2018 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
100097,2026-04-17,Volkswagen,Polo,2015,138029,Yarı Otomatik,LPG & Benzin,Kırmızı,Antalya,792956,Sahibinden temiz 2015 model Volkswagen Polo. Tüm bakımları zamanında yapılmıştır.
100098,2026-05-03,Fiat,Egea,2021,72521,Manuel,Hibrit,Mavi,İstanbul,841218,Sahibinden temiz 2021 model Fiat Egea. Tüm bakımları zamanında yapılmıştır.
100099,2026-05-11,BMW,5 Serisi,2021,92759,Yarı Otomatik,Hibrit,Mavi,Bursa,1610861,Sahibinden temiz 2021 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
100100,2026-05-12,Mercedes-Benz,A Serisi,2011,286437,Yarı Otomatik,Dizel,Gri (Gümüş),Bursa,820344,Sahibinden temiz 2011 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
100101,2026-05-12,Fiat,Lineia,2019,76686,Otomatik,LPG & Benzin,Füme,Gaziantep,734971,Sahibinden temiz 2019 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
100102,2026-04-16,Mercedes-Benz,A Serisi,2019,89385,Manuel,Benzin,Kırmızı,Antalya,1515922,Sahibinden temiz 2019 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
100103,2026-05-10,Renault,Clio,2020,73565,Otomatik,Elektrik,Gri (Gümüş),İstanbul,789652,Sahibinden temiz 2020 model Renault Clio. Tüm bakımları zamanında yapılmıştır.
100104,2026-05-07,Mercedes-Benz,C Serisi,2014,236501,Yarı Otomatik,Elektrik,Kırmızı,İzmir,1045248,Sahibinden temiz 2014 model Mercedes-Benz C Serisi. Tüm bakımları zamanında yapılmıştır.
100105,2026-05-02,Renault,Megane,2020,79442,Otomatik,Hibrit,Metalik Gri,Ankara,780837,Sahibinden temiz 2020 model Renault Megane. Tüm bakımları zamanında yapılmıştır.
100106,2026-04-23,Mercedes-Benz,C Serisi,2013,157352,Yarı Otomatik,Benzin,Füme,Bursa,1113972,Sahibinden temiz 2013 model Mercedes-Benz C Serisi. Tüm bakımları zamanında yapılmıştır.
100107,2026-05-13,Hyundai,Accent Blue,2019,76954,Otomatik,Hibrit,Gri (Gümüş),Antalya,734569,Sahibinden temiz 2019 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100108,2026-04-18,Hyundai,i20,2016,167555,Otomatik,LPG & Benzin,Siyah,Antalya,448667,Sahibinden temiz 2016 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
100109,2026-05-07,Hyundai,Tucson,2012,230752,Otomatik,Benzin,Füme,Ankara,250000,Sahibinden temiz 2012 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
100110,2026-05-14,Renault,Megane,2025,22389,Otomatik,Elektrik,Füme,Kocaeli,1116416,Sahibinden temiz 2025 model Renault Megane. Tüm bakımları zamanında yapılmıştır.
100111,2026-04-17,BMW,5 Serisi,2020,100356,Yarı Otomatik,Elektrik,Füme,Bursa,1549466,Sahibinden temiz 2020 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
100112,2026-05-03,Volkswagen,Golf,2011,287892,Yarı Otomatik,LPG & Benzin,Mavi,Ankara,368162,Sahibinden temiz 2011 model Volkswagen Golf. Tüm bakımları zamanında yapılmıştır.
100113,2026-04-28,Fiat,Fiorino,2011,274994,Yarı Otomatik,Elektrik,Gri (Gümüş),Gaziantep,250000,Sahibinden temiz 2011 model Fiat Fiorino. Tüm bakımları zamanında yapılmıştır.
100114,2026-04-22,BMW,1 Serisi,2017,149267,Manuel,Dizel,Metalik Gri,İstanbul,1326099,Sahibinden temiz 2017 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
100115,2026-05-08,Hyundai,i30,2018,150195,Manuel,Hibrit,Kırmızı,Gaziantep,574707,Sahibinden temiz 2018 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
100116,2026-04-22,Hyundai,i20,2019,102165,Manuel,LPG & Benzin,Gri (Gümüş),Ankara,696752,Sahibinden temiz 2019 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
100117,2026-05-04,Fiat,Punto,2022,37512,Manuel,Benzin,Siyah,Gaziantep,943732,Sahibinden temiz 2022 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
100118,2026-04-23,Hyundai,Accent Blue,2018,130928,Otomatik,Elektrik,Siyah,Antalya,603608,Sahibinden temiz 2018 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100119,2026-05-04,Hyundai,Accent Blue,2023,42646,Otomatik,Hibrit,Füme,Antalya,986031,Sahibinden temiz 2023 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100120,2026-05-01,Mercedes-Benz,C Serisi,2011,300198,Otomatik,LPG & Benzin,Siyah,Antalya,799703,Sahibinden temiz 2011 model Mercedes-Benz C Serisi. Tüm bakımları zamanında yapılmıştır.
100121,2026-05-11,Mercedes-Benz,E Serisi,2014,218285,Manuel,Elektrik,Beyaz,İzmir,1072572,Sahibinden temiz 2014 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
100122,2026-04-19,Hyundai,Tucson,2019,110733,Manuel,LPG & Benzin,Mavi,Kocaeli,683900,Sahibinden temiz 2019 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
100123,2026-04-21,Volkswagen,Golf,2024,50990,Otomatik,Benzin,Füme,Bursa,1373515,Sahibinden temiz 2024 model Volkswagen Golf. Tüm bakımları zamanında yapılmıştır.
100124,2026-05-04,Fiat,Lineia,2013,209153,Otomatik,Elektrik,Füme,Antalya,250000,Sahibinden temiz 2013 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
100125,2026-04-16,Renault,Megane,2021,70585,Otomatik,Dizel,Gri (Gümüş),Kocaeli,844122,Sahibinden temiz 2021 model Renault Megane. Tüm bakımları zamanında yapılmıştır.
100126,2026-04-24,Fiat,Lineia,2019,79581,Yarı Otomatik,Benzin,Mavi,Gaziantep,730628,Sahibinden temiz 2019 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
100127,2026-05-13,Fiat,Punto,2019,118864,Otomatik,Dizel,Siyah,İzmir,671704,Sahibinden temiz 2019 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
100128,2026-05-13,Fiat,Punto,2025,16684,Yarı Otomatik,Dizel,Metalik Gri,İstanbul,1124974,Sahibinden temiz 2025 model Fiat Punto. Tüm bakımları zamanında yapılmıştır.
100129,2026-04-29,Fiat,Fiorino,2017,110162,Manuel,Elektrik,Metalik Gri,Ankara,584757,Sahibinden temiz 2017 model Fiat Fiorino. Tüm bakımları zamanında yapılmıştır.
100130,2026-04-21,Volkswagen,Tiguan,2012,235300,Manuel,Benzin,Kırmızı,Adana,497050,Sahibinden temiz 2012 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
100131,2026-05-06,BMW,3 Serisi,2010,223557,Manuel,Hibrit,Füme,Adana,864664,Sahibinden temiz 2010 model BMW 3 Serisi. Tüm bakımları zamanında yapılmıştır.
100132,2026-05-04,Mercedes-Benz,E Serisi,2023,56370,Manuel,Benzin,Gri (Gümüş),Adana,1765445,Sahibinden temiz 2023 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
100133,2026-05-07,Fiat,Lineia,2023,52574,Yarı Otomatik,LPG & Benzin,Mavi,Antalya,971139,Sahibinden temiz 2023 model Fiat Lineia. Tüm bakımları zamanında yapılmıştır.
100134,2026-04-29,Mercedes-Benz,A Serisi,2021,63496,Otomatik,Elektrik,Mavi,Gaziantep,1654756,Sahibinden temiz 2021 model Mercedes-Benz A Serisi. Tüm bakımları zamanında yapılmıştır.
100135,2026-04-20,BMW,1 Serisi,2016,172395,Otomatik,Hibrit,Mavi,Gaziantep,1241407,Sahibinden temiz 2016 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
100136,2026-04-23,Toyota,Yaris,2024,50807,Otomatik,Benzin,Kırmızı,Bursa,1373789,Sahibinden temiz 2024 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
